ID,L3,Finding Category,Priority,Description, Recommendation,Type of correction action,Categories of corrective action strength
23091,PT Laju Niaga Gemilang,Security,High,"Security guard cant explain what his task, hazard at workplace, control of hazard",Security guard must be refresh.,2,3
23100,PT Sinar Mutiara EPC,Housekeeping,Medium,piles of excavated soil in narrow areas can block access and be dangerous if the pile is too high.,move axcavated soil out of site everyday to ensure no piles of soil blocked access.,1,1
23101,PT Anugerah Petro Indonesia,Housekeeping,Low,Improper material placement,Immediately to put material properly,1,1
23104,PT Usaha Engineering Services,Housekeeping,Medium,cover dispenser in the work area can cause tripping and falling on workers,Immediate tidying up,1,1
23104,PT Usaha Engineering Services,"Inspection, signage, tag",Medium,Oxycan is expired,Please conduct Monthly inspection First aid Kit to ensure all kit good condition,3,1
23104,PT Usaha Engineering Services,"Inspection, signage, tag",Medium,Checklist High risk activity Hotwork not aproprioate with actual condition,Permit holder harus melakukan verifikasi dan pengecekan secara telitu dengan menggunakan Chekklist ,3,1
23104,PT Usaha Engineering Services,Fire / explosion,Medium,"Apar is in good condition, but periodic inspections have not been carried out for March",Please conduct isnpection FIREX Immediately,3,1
23104,PT Usaha Engineering Services,Communication,Medium,Less information regarding first aider and fire warden in Emergency response procedure,Please update emergency repsone procedure ,3,1
23111,PT Laju Niaga Gemilang,"Rules, regulations not followed",Low,There was only 1 exit access available for evacuation. This was also not captured during CRR process,"LNG : to immediately provide additional exit with opposite direction from existing exit. In case any situation blockage the existing exit, workers still can use another exit for evacuation ",1,1
23111,PT Laju Niaga Gemilang,Procedures not followed / inadequate,Medium,There was misalignment on the understanding of demolition criteria requiring SME approval ,MHT to provide matrix demolition and criteria to be submit to Shell for review ,3,1
23111,PT Laju Niaga Gemilang,Procedures not followed / inadequate,Medium,Work method statement not yet captured manual hacking using jackhammer. ,LNG to update method of work as per actual activity will be carried out. LMRA understanding had been corrected at site that might requiring further communication to align with it,3,3
23111,PT Laju Niaga Gemilang,Electrical,High,There were no 1 single isolation register to list down all of isolation did by all L3,1 single isolation register to be use and maintained by PCC ,2,3
23111,PT Laju Niaga Gemilang,Rotating equipment,Medium,Unprotected rotating part in mini concrete mixer,LNG to provide additional protection on the exposed rotating part. ,1,1
23111,PT Laju Niaga Gemilang,Environmental polution,High,Observed leak on dismantled STP at PMA part.,API to immediately take an action to properly handling hazardous waste. ,1,1
23111,PT Laju Niaga Gemilang,Slips and trips,Medium,Unsafe access on site entrance as there was pipe across on below ,LNG to provide ramp for safe access ,1,1
23120,PT Laju Niaga Gemilang,"Permit (inadequate, not present)",Low,Format wcf using 12 LSR,Permit holder must provide a printable paper with 9 lsr and attached at old WCF,3,2
23121,PT Sinar Mutiara EPC,"Barricading (inadequate, inappropriate)",High,Excavations area not properly barricaded,"As stated in MHT HSSE Guidance, barricade tape can't be used on Shell Program. SME must provide hard barricade complete with safety net for having a better protection for workers (from excavations)",1,1
23121,PT Sinar Mutiara EPC,"Excavation, ingress, egress",High,No proper access for operator to excavator,Proper access for operator must be established (and must be fully eliminate fall hazard),2,1
23121,PT Sinar Mutiara EPC,Communication,Medium,HSSE Statistic not updated,SME must maintain HSSE Statistic updated periodically (could be daily or weekly),2,1
23121,PT Sinar Mutiara EPC,Communication,Medium,Informations on Green Zone not complete,Refer to Site Setup Checklist for completing the informations for Green Zone,3,1
23121,PT Sinar Mutiara EPC,Fire / explosion,High,No expiry date on fire extinguisher,Need to replace with a proper one complete with inspection tag and clear expiry date,3,2
23121,PT Sinar Mutiara EPC,"Permit (inadequate, not present)",Medium,JHA not signed by workers while it still continues,JHA need to be signed by workers as long as the activity still on going as it proof that the JHA been communicated,3,1
23136,PT Anugerah Petro Indonesia,PPE incomplete / inadequate,Low,One of worker didn't wearing safety gloves when working ,Inform the worker to wearing proper PPE when working on site,2,1
23164,PT Laju Niaga Gemilang,"Rules, regulations not followed",High,Green Zone has not established yet even days after KOM,Complete site set up should be ready when KOM conducted. LNG should provide both Green and Red Zone set up based on Site Set Up Checklist,2,1
23164,PT Laju Niaga Gemilang,Competence,High,No printed Temporary Safety Passport for Workers,Such basic rules should not happen on PCC like LNG. LNG should know what to do regarding temporary safety passport requirement,2,1
23165,PT Laju Niaga Gemilang,Communication,High,No information at all on HSSE Board,Need awareness from LNG Management regarding the importance of HSSE Board and all the information inside,2,4
23165,PT Laju Niaga Gemilang,Competence,High,No Temporary Safety Passport printed for workers,LNG should know what to do on such basic findings,2,1
23182,PT Laju Niaga Gemilang,Traffic,High,Workers' access is blocked by materials,please discuses with another contractor regarding of material stock yard,1,1
23182,PT Laju Niaga Gemilang,"Inspection, signage, tag",High,no safety sign at site,please providesafety sign at site,1,1
23182,PT Laju Niaga Gemilang,Competence,High,worker safetypassport has not been printed,please provide the hardcopy safetypassport,2,1
23182,PT Laju Niaga Gemilang,"Inspection, signage, tag",High,"no hse policy, safety sign, and hse board at site","please provide the hse policy, LFI, safety poster and campaign",1,1
23191,PT Laju Niaga Gemilang,Lifting and slinging,High,There is no safety latch hook on the lifting equipment (bore pile machine).,Stop work and LNG team will provide safety latch to the equipment.,1,1
23191,PT Laju Niaga Gemilang,Rotating equipment,High,The fan belt is broken and can affect multiple function to the equipment.,Stop work and LNG team should replace with new fan belt in good condition.,1,1
23191,PT Laju Niaga Gemilang,Mechanical impact,Medium,Unproper pin lock in bore pile machine.,Stop work and LNG team should remove the existing wire with proper pin lock to the equipment.,1,1
23191,PT Laju Niaga Gemilang,Rotating equipment,High,Rotating equipment (in bore pile machine) without guarding/ cover has the potential to cause serious injury from cuts and abrasions to severed fingers.,Stop work and LNG team to provide the machine guarding to prevent serious injury.,1,1
23191,PT Laju Niaga Gemilang,Protruding objects,High,All protruding objects (rebar) are not protected and have potentially punctured.,Provide the cover for all rebars at site with proper material. ,1,1
23191,PT Laju Niaga Gemilang,"Barricading (inadequate, inappropriate)",High,Inappropriate barricading system at material storage (beside lube bay area).,Provide hard barricade and safety net to the material storage and ensure only authorized person can enter to the project area.,1,1
23191,PT Laju Niaga Gemilang,Competence,High,3 workers (bore pile machine team) don't have temporary safety passport at site.,Provide/ print-out temporary safety passport after safety induction for 3 workers and ensure it will be available at site during the project,2,1
23191,PT Laju Niaga Gemilang,Fire / explosion,High,There is no inspection to the fire extinguisher and already low pressure.,Remove the fire extinguisher and conduct the inspection prior mobilization to the site and periodically every week.,3,2
23191,PT Laju Niaga Gemilang,"Rules, regulations not followed",Medium,Unproper stock supplies of first aid kit at project site.,Provide first aid kits inspection and stock supplies update in good first aid kit bag.,3,2
23191,PT Laju Niaga Gemilang,PPE incomplete / inadequate,Medium,3 workers don't use chain strap and unproper hand gloves based on the specific job.,Provide chain strap and hand gloves for chemical job and/or specific job.,1,1
23191,PT Laju Niaga Gemilang,Rotating equipment,High,There is cover to the rotating equipment in grinding machine (including green tag) and no inventory for safety glasses. ,Stop work. Provide cover for grinding machine and safety glasses during the activities.,1,1
23191,PT Laju Niaga Gemilang,Communication,Medium,No Green Zone signage at project site.,Provide Green Zone signage and ensure will be display at site.,1,1
23191,PT Laju Niaga Gemilang,Electrical,High,There is no padlock for panel distribution box.,Provide the padlock to panel distribution box and ensure it will be lock.,1,1
23196,PT Laju Niaga Gemilang,"Inspection, signage, tag",High,no safety campaign at site,please provide the safety campaign,2,3
23196,PT Laju Niaga Gemilang,Competence,High,safety passport has not been printed,provide the hard of safety passport,2,3
23196,PT Laju Niaga Gemilang,"Inspection, signage, tag",High,HSSE Policy has not yet available at site,plese provide the hsse policy at site,2,3
23196,PT Laju Niaga Gemilang,"Inspection, signage, tag",High,"LFI, Poster, hse program planhas not yet available at site",plese provide the hsse poster at site,2,2
23197,PT Laju Niaga Gemilang,PPE incomplete / inadequate,Low,Worker not using chinstrap during activity,Please socialition and refresher regarding function of PPE,3,3
23197,PT Laju Niaga Gemilang,Procedures not followed / inadequate,High,Greenzone not proper as per minimum standard,Please swift action to completly greenzone facilities as per minimum requirment,2,3
23197,PT Laju Niaga Gemilang,"Permit (inadequate, not present)",High,No proper Handover process Permit Holder,HSSE manager must conduct socialization handover process to increasing knowledge handover process of permit holder. And requirment rules of Permit of issuer and Permit holder,3,3
23206,PT Anugerah Petro Indonesia,PPE incomplete / inadequate,Low,Workers PPE is not properly maintained,Awareness PPE maintenance need to be improve,2,3
23229,PT. Mitra Purnama Engineering,Communication,High,Improper and incomplete board,Such dirty and no information board should not present on site. Improper one with complete information should replace this one,2,4
23229,PT. Mitra Purnama Engineering,"Rules, regulations not followed",High,Improper Green Zone,"Even workers admit they do not comfortable with the green zone. Green zone should be a place where workers can be rest, visitors get information, and a place where meeting can be conducted. Therefore, a proper one should be prepared. MPE should know better. But if not, please refer to the attached guidance",2,3
23229,PT. Mitra Purnama Engineering,Competence,High,Worker not brought his temporary safety passport,Temporary Safety Passport should always be brought by worker since it contain close family's contact number in case anything happen to him,2,3
23229,PT. Mitra Purnama Engineering,PPE incomplete / inadequate,High,No chinstrap on safety helmet,MPE should prepare enough chinstrap so all PPE for workers comply,1,1
23230,PT Laju Niaga Gemilang,Housekeeping,High,Poor housekeeping on Green Zone,Green Zone should clean and tidy. Housekeeping must be conducted immediately,1,1
23230,PT Laju Niaga Gemilang,"Rules, regulations not followed",High,JHA still use PH name who's not on site,Proper handover should be made the previous PH to the new one,2,3
23230,PT Laju Niaga Gemilang,Electrical,High,Usage of non-industrial electrical socket,Refer to MHT HSSE Guidance for a proper socket,1,1
23230,PT Laju Niaga Gemilang,"Permit (inadequate, not present)",High,Several points of WCF not completely filled,WCF should not be blank. PH must ensure every necessary column filled,2,3
23272,PT Laju Niaga Gemilang,"Exposure (chemical, noise, etc)",Low,No proper label on the can use for store thinner ,LNG to provide label to inform chemical characteristic and precaution that need to be taken on the stored and use of thinner ,2,1
23272,PT Laju Niaga Gemilang,"Exposure (chemical, noise, etc)",Low,Inadequate secondary containment on the use of paint/thinner at site,LNG to provide plastic/zinc spill containment instead only laying it into mat. Further discussed had taken at site to HSSE Officer on this finding. ,1,1
23272,PT Laju Niaga Gemilang,"Permit (inadequate, not present)",Low,JHA not reflect site actual condition that might requiring additional hazard to be written ,Put a process requiring JHA to be validated by PH during work controlled activity to ensure it still can be relevant as per actual condition at site. This process shall be witnessed and guided by having proper facilitation from site HSSE Officer. ,2,3
23340,PT Sinar Mutiara EPC,Housekeeping,High,Nailed wood on the pedestrian way,PH and HSSE Officer should more aware of poor housekeeping that could cause injuries.,3,3
23340,PT Sinar Mutiara EPC,Housekeeping,High,Nails on pedestrian way,PH and HSSE Officer should more aware of poor housekeeping that could cause injuries.,3,3
23348,PT Sinar Mutiara EPC,Housekeeping,Medium,Shelves in cluttered condition,All items on the shelves must be neatly arranged and it must be determined what materials can be stored there.,2,3
23355,PT Laju Niaga Gemilang,Electrical,Medium,Panel box not locked and not protection,The panel box should be locked and well-protected. And install signs for authorised personnel to access the panel box.,1,1
23359,PT Laju Niaga Gemilang,Competence,Medium,No record of high risk accreditation test of confined space for workers,High Risk training need be performed with accreditation test to be conducted to determine competency of workers,3,3
23359,PT Laju Niaga Gemilang,"Permit (inadequate, not present)",Medium,JHA not update as per specific actual hazard observed at site,"Immediate action taken to ensure PH update JHA specific as per condition at site. 

Refreshment and support need to be provided to ensure PH able to perform JHA verification to assure it can updated in case any need to add the hazard based on observation at site. ",3,3
23366,PT Sinar Mutiara EPC,Procedures not followed / inadequate,Medium,there are gallons of drinking in the work area,ensure the gallons are available in the green zone area,2,1
23381,PT. Mitra Purnama Engineering,Housekeeping,Low,Temporary fencing not following MHT standardization in term of painting ,"As project will be HO at the near time , MPE to provide long term action to ensure during mobilization, temporary fencing properly paint following MHT standardization ",1,1
23381,PT. Mitra Purnama Engineering,Rotating equipment,High,Worker remove the wheel guard due to challenge during working to cut lysaght ,Discussed made and action agreed between PH and workers. Monitoring on the enforcement of compliance to be available at all times. ,3,3
23381,PT. Mitra Purnama Engineering,PPE incomplete / inadequate,High,"Observed worker not wearing safety shoes - steel toe. As per informed by site team, no spare PPE for replacement available ",MPE to immediately provide safety shoes to the workers. Spare PPE to be available and stored in Green Zone. ,1,1
23381,PT. Mitra Purnama Engineering,Fire / explosion,High,No vapor barrier and gas detector in place during hot work activity,"Stop Work issued given as per agreed between MHT SE and PH. Immediate action need to be taken to mobilize vapor barrier and gas detector. For assurance, MPE to provide report addressing any root cause leading to this situation. It can be improvement on planning, communication , competency, etc. ",1,1
23383,CIRA International,Work at Heights,High,Found 1 (one) shock absorber of full body harness was broken.,Remove and replace the full body harness in good condition and conduct inspection checklist prior used the equipment.,1,1
23383,CIRA International,"Inspection, signage, tag",High,Observed 2 (two) hammers that have been modified and must be replaced with a suitable hammer.,Provide a suitable hammer and ensure there is no modification equipment that can be a potential hazard to the worker.,1,1
23388,PT Laju Niaga Gemilang,"Obstruction (materials, machinery)",High,Materials scattered in the work area,Collect the material on material stockyard,1,1
23388,PT Laju Niaga Gemilang,Housekeeping,High,Formwork waste is scattered and not cleaned up,Breaking the wood of bekisting & remove it (increase the housekeeping),1,1
23411,CIRA International,Housekeeping,Medium,No proper air circulation on Green Zone which makes uncomfortable to all,Need to open up some sides to get more air or provide a fan,1,1
23411,CIRA International,"Permit (inadequate, not present)",Medium,JHA not signed by workers while activity still continues,Signs the JHA means everything in it has been communicated and understood. Do this for everyday if the activity still continues,2,3
23411,CIRA International,"Permit (inadequate, not present)",Medium,WCF not updated into 9 LSR and not fully completed,Need to do as briefed,3,3
23414,PT Usaha Jayamas Bhakti,PPE incomplete / inadequate,Medium,"Worker  not wear Safety Glasses, Chemical Gloveand safety shoes during Epoxy activities",HSSE UJE must ensure the worker comply with PPE. Because refer to MSDS Epoxy caused irritant damage,1,1
23414,PT Usaha Jayamas Bhakti,Environmental polution,High,there are paint splatters in the GOE construction area,"PH and HSSE should have ensured that no paint splatters were exposed to the ground, This could have been prevented by covering the painting area so that no paint splatters were exposed to the ground.",1,1
23485,PT Sinar Mutiara EPC,Slips and trips,Medium,Potential slip and trip caused by uneven surfaces.,Ramp or caution tape to be provided by SMEPC as preventing the majority of slip and trips accident.,2,1
23485,PT Sinar Mutiara EPC,"Permit (inadequate, not present)",High,"It was observed no record of LMRA in JHA (011) and not update in the PTW form (08527) in ""Additional hazard and control"" column.","The last minute risk assessment (LMRA) must be provides based on critical last level of review necessary to address any hazards that have been realized during the construction works and must be record in Permit documentation (WCF, JHA and PTW).",4,3
23485,PT Sinar Mutiara EPC,Communication,High,Stop Work Policy update by Shell-ID are not available at Information Board and not update in the CRR document.,"HSSE Manager SMEPC should conduct the socialization of Stop Work Policy by Shell to all SMEPC employee and L4 at project site, including to update in the CRR and display at Information Board at site.",3,3
23485,PT Sinar Mutiara EPC,Procedures not followed / inadequate,High,The wall demolition plan has not yet been submitted to the MHT PM team.,Submit the Demolition Plan to MHT PM team for review and ensure to get the approval prior starting the job.,2,3
23485,PT Sinar Mutiara EPC,"Rules, regulations not followed",High,"Pre-mobilization checklist of crane are not complete with the evident and we are not allowing to print-out the ""tick"" for the inspection.","Ensure all heavy equipment will be inspect prior mobilization to the site and complete with the evident, especially for critical safety device.",2,3
23485,PT Sinar Mutiara EPC,Procedures not followed / inadequate,High,Incomplete signature for the authorized person of lifting activity in the High-Risk activity checklist (lifting).,Ensure that all high-risk activity checklists will be signed off by the Subject Matter Expert (SME) who have advanced knowledge in a specific work and as part of assurance.,2,3
23485,PT Sinar Mutiara EPC,"Rules, regulations not followed",High,No record of Worker Welfare audit to the renthouse of worker during the project period.,Conduct Worker Welfare to the renthouse of worker and provide the official invitation.,3,3
23485,PT Sinar Mutiara EPC,Communication,High,Only 1 of 2 Hospital reference have been display at notice board.,Ensure 2 (two) hospital reference as ERP will be display at notice board.,2,4
23485,PT Sinar Mutiara EPC,Competence,High,There is no assurance on LSR knowledge by L4 during Safety Induction and/or training prior starting the job at site.,SMEPC to provide another question about 9 LSR and Shell Goal Zero on L4 post-test accreditation to ensure all L4 have a good knowledge on Shell Safety Rules.,3,3
23485,PT Sinar Mutiara EPC,Competence,Medium,"The Blue Zone session have been conducted by SMEPC site team, but no record properly in weekly report.","Ensure all training have been recorded properly and SMEPC to provide Blue Zone session report on WAH, Excavation and Lifting activities.",3,3
23485,PT Sinar Mutiara EPC,"Fitness to work (fatigue, drugs & alcohol, etc)",High,No record of Drug and Alcohol for Heavy Equipment operator.,Provide D&A report for Crane and/or Excavator operator.,3,3
23485,PT Sinar Mutiara EPC,"Rules, regulations not followed",High,No record of TNT Audit by SMEPC site team to the worker during the project and the target is 4 (four).,SMEPC Site Team should conduct TNT program and ensure to meet the target - 4 (four).,3,3
23485,PT Sinar Mutiara EPC,Competence,Medium,No report of reward program.,"SMEPC have already give the reward to the worker and need to provide the report, complete with the photo, safety passport, including the description of recognition.",2,3
23485,PT Sinar Mutiara EPC,"Rules, regulations not followed",High,"Incomplete of stocked First Aid kit (there is no cotton, plastic bags and aquades) and not aligned with the inspection checklist.","Ensure to complete the cotton, plastic bags and aquades, and must be aligned with the checklist.",1,1
23485,PT Sinar Mutiara EPC,Work at Heights,High,Found 1 of 4 full body harness (FBH) are damage and no record for all FBH inspection.,Remove the broken FBH and provide the tagging for all FBH to ensure it's had already inspection by competent person.,2,1
23513,PT Laju Niaga Gemilang,"Barricading (inadequate, inappropriate)",High,No barricade while working in the panel room,please provide barricade so no un authorized person can enter,1,1
23513,PT Laju Niaga Gemilang,Isolation(LOTOTO effectiveness),High,Effective LOTOTO for interconnection work,good practice and Effective LOTOTO for interconnection work,,
23514,PT Laju Niaga Gemilang,"Barricading (inadequate, inappropriate)",Low,soft barricade to prevent unauthorized person to enter red zone,please use hard barricade for this preventive barrier,1,1
23514,PT Laju Niaga Gemilang,Protruding objects,Low,there was a protruding object on the pathway for workers,please make it safer with proper safe barrier,1,1
23514,PT Laju Niaga Gemilang,Housekeeping,Low,saw Site asset (dip stick) was put on construction area,please put the dip stick at more safer and proper area to prevent damage to asset,1,1
23531,PT Laju Niaga Gemilang,Housekeeping,Low,Debris scattered in the work area,Do regular cleaning to keep the work area tidy,1,1
23531,PT Laju Niaga Gemilang,"Barricading (inadequate, inappropriate)",Low,The cable installation area is not well protected with barricades,Always protect the area with barricades if there is work that has the potential to slip and fall.,1,1
23548,PT Sinar Mutiara EPC,Work at Heights,Medium,platform positioned above the intended place that cause worker will work without proper railing protection ,"Add additional 1 frame of modular scaffolding and add cross railing behind the platform on the opening of access. likewise , please seek advise also to L3 scaffolding supervisor ",1,1
23548,PT Sinar Mutiara EPC,Slips and trips,Low,Opening on the access/walkways,put platform as a bridge or immediately buried the trench,1,1
23548,PT Sinar Mutiara EPC,Housekeeping,Low,improper placement of full body harness that might harness being exposed by concrete or environment ,SMEPC to provide dedicated storage of FBH nearby to the green zone ,1,1
23571,PT Sinar Mutiara EPC,Housekeeping,Medium,Sharp part of Outdoor AC support need to cover ,Cover the sharp part of support outdoor AC to ensure no worker get hurt when enter this location.,1,1
23584,PT Sinar Mutiara EPC,Mechanical impact,High,No side handles for 2 (two) grinding machines and no record updates for equipment checklists.,Provide side handle for all grinding machine and ensure to inspect the equipment every week and visual check prior using the equipment.,1,1
23584,PT Sinar Mutiara EPC,Slips and trips,High,Found the cable in ground level that have a potential slip and trip.,Ensure the cable in 2 meter above from the ground level and/or to provide ramp cable.,1,1
23584,PT Sinar Mutiara EPC,Positive / Proactive practice and behaviours,High,Conduct Blue Zone session on electrical activity prior start the HRA with 3 (three) workers.,Good practice,,
23584,PT Sinar Mutiara EPC,Work at Heights,High,"Found improper scaffolding without handrail, toe board, incomplete ""lift"" of scaffolding on the top and it will be a potential hazard during WAH activity.",Remove the scaffolding and ensure scaffolding at project site must complete with the safety requirement. ,1,1
23584,PT Sinar Mutiara EPC,Work at Heights,High,No tagging and inspection for all Full Body Harness.,Inspect all FBH in weekly basis and provide the tagging.,3,3
23584,PT Sinar Mutiara EPC,Fire / explosion,High,There is no cover when cutting materials that have the potential for sparks and a lot of material around flammable material.,"Provide the fabrication area, complete with fire blanket/ cover the spreading of spark during hot work activity. ",1,1
23585,PT Sinar Mutiara EPC,PPE incomplete / inadequate,Low,Worker not using safety google during aci works,The need for socialisation for the use of PPE and understanding of each type of PPE in accordance with the work.,3,3
23585,PT Sinar Mutiara EPC,"Inspection, signage, tag",Low,"The condition of the eyewash is fairly good with water flowing according to the height of the eye level, however, improvements need to be made by adding inspection tagging.",Tagging inpection is required to monitor water changes and eyewash draining to ensure that the water used remains clean.,3,3
23592,CIRA International,Housekeeping,Medium,Damaged drinking water facility due to heavy wind,Need to substitute dispenser (which has potential fall) to a more simple equipment such as pump,1,1
23592,CIRA International,"Permit (inadequate, not present)",Medium,No register number on documented WCF,Need to add as per discussed,2,3
23594,PT Sinar Mutiara EPC,Communication,Low,No site entrance signage on the change of fencing for workers access,"Install immediately necessary signage such as mandatory PPE, site entrance signage, and only authorized person able to access",1,1
23594,PT Sinar Mutiara EPC,Communication,Medium,Blue zone for demolition still not yet prepared by site team,site team to prepare the blue zone tools and media for demolition and conduct the session prior hra,3,3
23617,PT Sinar Mutiara EPC,Housekeeping,Medium,Put it wrong location,To make tidy this area,1,1
23617,PT Sinar Mutiara EPC,Slips and trips,Medium,Not layed cross another equipments with other eq,To be layed according the routing,1,1
23617,PT Sinar Mutiara EPC,Electrical,High,Not put the cap of the plug,To make plug if not used,1,1
23664,CIRA International,Work at Heights,Low,Scafollding,need improvedthe scafollding acecoris completed,1,1
23675,PT Anugerah Petro Indonesia,"Barricading (inadequate, inappropriate)",High,"Barricades and safety signages was not provided by API and failure in providing safe working area (demarcation of green & red zone) preventing trespassing of unauthorised personnel. in addition,  No barricades to segregate Green Zone and Red Zone.  No visitors controls established (visitors recorded and hold Safety Passport).","MHT recommend to refer to latest site start-up standardisation pack and revisit how L3 site team managing visitor on site with right procedures.
",3,3
23675,PT Anugerah Petro Indonesia,"Permit (inadequate, not present)",High,Permit observed to be issued with inadequate checking on the work area as it was issued prior site walkabout with MHT team.,MHT giving warning to PI for not simply issuing permit without knowing the entire risk associated to the works.,2,3
23675,PT Anugerah Petro Indonesia,"Inspection, signage, tag",High,Inspection - no clear inspection record on anti spark tools,Anti spark tools should be provided for any fuel system works reducing chances of spark.,1,1
23675,PT Anugerah Petro Indonesia,"Permit (inadequate, not present)",Medium,Permit issued with inadequate assurances where found out to be reviewed and signed off before having thorough site walkabout.,Last warning given to API PI (Soleh) and coaching session by MHT LPM (Faliq).,3,3
23675,PT Anugerah Petro Indonesia,Procedures not followed / inadequate,High,ERP for 3 activities were not made available with clear rescue plan and this is clearly observed when WAH activities wasnt captured as high risk activities involved with 2m depth tank sump.,"ERP to be provided for WAH, Hot work and Confined Space prior work commencement.",2,3
23675,PT Anugerah Petro Indonesia,Work at Heights,High,"API Site team doesn't understand the requirement of WAH where there was an activities required controls for working into tank sump with depth of >2m where potential of fall into an area to be considered, and this also doesnt captured by in WCF and JHA.",MHT recommended to STOP all works and revisit the work scope reducing potential of incident.,1,1
23675,PT Anugerah Petro Indonesia,Work at Heights,High,No body harness provided prior work commencement as part of rescue item.,MHT recommended to STOP all works and revisit the work scope reducing potential of incident related to WAH.  Inspection should be done on the lanyard used ensuring zero damage.,4,1
23675,PT Anugerah Petro Indonesia,"Exposure (chemical, noise, etc)",High,Station TPS was used by L3 contractor as material and tools storage where potential of chemical waste contaminating stored material & tools.  L3 shall not use the TPS B3 which is a restricted area by law to store hazardous waste to store their equipment and material in any case.,"MHT recommend L3 to provide their own storage inclusively materials, tools and items required for the activities.

",1,1
23762,PT. Mitra Purnama Engineering,PPE incomplete / inadequate,High,Grinding workers do not use ear plugs,' PH and Hsse must ensure that PPE is available before work is carried out,1,1
23762,PT. Mitra Purnama Engineering,Procedures not followed / inadequate,Medium,Using the stairs without a companion,'Workers must be ensured that they know the hazards of the work they are doing. to work using a ladder there must be a worker companion to help,2,3
23763,PT. Mitra Purnama Engineering,Slips and trips,High,Placement of material that has accumulated,'PH and Hsse must make a location for material placement and not accumulate,1,1
23763,PT. Mitra Purnama Engineering,Housekeeping,High,Garbage material piled up,'in the project a schedule must be made for garbage disposal so that it does not accumulate in the work area,1,1
23768,PT Usaha Jayamas Bhakti,"Inspection, signage, tag",Low,,Add more safety sign,1,1
23769,PT Usaha Jayamas Bhakti,Housekeeping,Low,,Take care of housekeeping in the work area,1,1
23778,PT Usaha Jayamas Bhakti,"Inspection, signage, tag",Low,lack of safety signs indicating the direction of the evacuation route,Add more evacuation route sign,1,1
23778,PT Usaha Jayamas Bhakti,Housekeeping,Low,first aid kit is not placed in first aid tent,place the first aid kit in the first aid tent,1,1
23779,PT Usaha Jayamas Bhakti,Security,High,placement of the guest book that is not in place when it will be filled in,The guest book must always be available in the site area,2,4
23796,PT Sinar Mutiara EPC,Work at Heights,Medium,"Incomplete Scaffolding on site without rail, outriger and some accesories",scaffolding shpuld install with complet material base on Scaffolding plan,1,1
23797,PT. Mitra Purnama Engineering,Competence,High,Found no induction nor training conducted on PT. Panca Team,"This is a serious, yet frequent where MPE as PCC did not treat Panca as L4, where Panca should get induction and training from MPE.
Such finding must not happen again on the next site.",3,3
23842,PT Pamindo Prima Utama Mandiri,"Inspection, signage, tag",High,Poor Inspection from Scaffolder Inspector.,"Scaffolder inspector and HSSE officer must join together to checking material before erecting to ensure all material ismaterials are not corroded, not bending, and all latches can be securely fastened. ",3,3
23842,PT Pamindo Prima Utama Mandiri,Procedures not followed / inadequate,High,The first aid kit is not in its box. ,First aid kit is always placed in a box and kept clean,1,1
23842,PT Pamindo Prima Utama Mandiri,"Inspection, signage, tag",High,Lanyard is broken ,HSSE Officer must check before statrting work at height. We found the lanyard is broken with a several  fibres break off and break out of the bond,3,3
23845,PT Usaha Jayamas Bhakti,Housekeeping,Medium,Overfilled trash can,Immediately empty the trash bin or add more trash bin,1,1
23846,PT Usaha Jayamas Bhakti,Security,High,There is no additional key door for redzone entrance,Add additional key,2,3
23850,PT Usaha Jayamas Bhakti,Housekeeping,Low,Not so tidy greenzone area,More tidy up green zone area,2,3
23851,PT Usaha Jayamas Bhakti,Communication,Medium,Less safety sign attached,attach more safety safety sign,1,1
23883,PT Pamindo Prima Utama Mandiri,"Barricading (inadequate, inappropriate)",High,Saw a temporary equipment storage area with no barricade,install barricade for safe boundary for workers and equipment area,1,1
23883,PT Pamindo Prima Utama Mandiri,Housekeeping,High,poor housekeeping for nails,stored and moved to safer storage,2,1
23883,PT Pamindo Prima Utama Mandiri,"Inspection, signage, tag",High,unappropriated scaffolding installation,don't use this scaffolding installation ,1,1
23905,PT Tangguh Duta Merlin,Competence,High,Safety induction to workers still not yet conducted.,Provide safety induction to all workers prior starting the job and print out the safety passport.,3,3
23905,PT Tangguh Duta Merlin,"Rules, regulations not followed",Medium,No green zone,Provide green zone as per agreed during the submission of SWMS and JHA.,2,3
23908,PT Tangguh Duta Merlin,"Rules, regulations not followed",Low,Green Zone did not establish well,A proper Green Zone with minimum can be used as rest area for workers must be established,3,3
23908,PT Tangguh Duta Merlin,"Rules, regulations not followed",Low,TDM personnel did not sign visitor book on Blue Team,Everyone who's going to have activities on live site must register on site's log book,2,3
23908,PT Tangguh Duta Merlin,"Permit (inadequate, not present)",High,Incomplete fill of JHA,"JHA is tools for workers to understand hazards and control for every job steps. It must be well communicated and understood by workers, proved by signs. Review by top management as assurance is also necessary",3,3
23936,PT Tangguh Duta Merlin,"Permit (inadequate, not present)",High,JHA did not go through complete review by Project Manager,"As per agreed format, JHA should reviewed by HSSE and Project Manager as part of assurance",4,3
23938,CIRA International,Communication,High,No Blue Zone conducted before W@H,"As per MHT standards, Blue Zone must be implement prior all high risk activity",3,3
23938,CIRA International,Competence,High,No temporary safety passport on worker,Temporary Safety Passport should be given for workers immediately after he passed the assurance test (after safety induction),2,3
